id,created_at,user_id,content_id,content_type,progress_completed,progress_total,updated_at
000bb83b-221d-4f99-b708-ca6853cb2313,2025-10-24 17:13:18.39+00,e42df817-3bde-47b2-bcb7-d5c9b6be55a9,8b9325d4-5472-4dcc-8bb6-4c5cc9074280,byte,126,126,2025-10-24 17:13:18.39
005b0683-fe42-43a3-a227-07382cc9cd4d,2025-10-08 14:09:27.488+00,a5027740-b102-4eab-ba92-cbeb0d9c8144,43a719d1-b700-44c8-8176-695050ce0287,summary,79,1287,2025-10-08 14:10:27.485
005b0855-f42c-4271-a0f3-cf3479405f88,2025-10-07 14:43:23.263+00,890b8c71-fe02-48b7-9ccd-d93a944ee3d6,f33c7ac5-2da8-4547-908b-da3d4dbb9b26,summary,724,789,2025-10-07 15:06:40.022
00f13f71-ae4b-4f46-8c5f-ac72538c50c5,2025-10-04 22:11:28.227+00,b145a2ea-c8e3-4e49-97b5-8082250d9791,848764d8-d7c3-4c82-9c68-faff38bcbc9e,journey,77,77,2025-10-04 22:11:28.227
011eacdf-d779-4efc-9c43-b84d626cda7a,2025-10-04 09:59:54.245+00,253b1368-e5a5-4868-a729-1f49d12b4518,43a719d1-b700-44c8-8176-695050ce0287,summary,159,1287,2025-10-04 10:02:13.223
012a8ceb-0155-4a02-90e9-a17612121112,2025-09-30 17:22:12.049+00,33c30cc7-ed4e-4f89-abf7-7efa43c9f0ff,be2ad415-2f72-4399-a701-7b0b641fac5c,byte,105,105,2025-09-30 17:22:12.049
014b353a-ce43-4c79-8769-ed24f75b6985,2025-10-09 14:02:02.201+00,3a286115-4983-4e39-aa25-e1c42add080c,43a719d1-b700-44c8-8176-695050ce0287,summary,179,1287,2025-10-09 14:04:42.116
01739350-5d4c-4b26-b682-3a867fa12140,2025-10-05 09:52:35.806+00,41c61c74-815f-4345-b30f-29665592b98d,aec0c8f9-b75a-4edc-8e60-dd7b9e92bcea,summary,59,1021,2025-10-05 09:53:15.846
01b5f358-9a9a-4550-a261-74a18c029ea5,2025-10-04 11:16:56.786+00,c4187179-4849-4f48-87f9-a0b99974a703,4e9f1799-8847-4fe5-9310-d01ffe5dd2c0,summary,0,0,2025-10-04 11:16:56.786
02167826-e5ec-4ff2-92a0-ae96a217c0c1,2025-09-28 05:55:45.263+00,481b800c-c447-4cd6-a76a-2acea1361ab1,b2678c2e-0855-4a7b-810c-6bb043a69d3d,byte,188,188,2025-09-28 05:55:45.263
0222f84d-d3ba-4f17-8bba-d02e2c33205c,2025-10-07 13:37:34.135+00,a1197f9c-1055-461a-bea1-85bd37f83c9f,82e618fa-a346-4b6c-9c72-f42236d97f38,byte,168,168,2025-10-07 13:37:34.135
02391599-6df9-4982-aa94-bcb28d122d3e,2025-10-26 07:21:06.41+00,c4e9446e-488e-45f5-b39a-414620f94fa7,aec0c8f9-b75a-4edc-8e60-dd7b9e92bcea,summary,1012,1021,2025-10-26 07:27:50.984
02c01611-e52d-4ece-b76f-2c477b9b0dc9,2025-10-14 05:33:03.247+00,0a3848ab-a5d1-47a0-8748-aa8f695c7ef0,2b596717-2692-44b6-a768-5339499c4490,summary,1061,1061,2025-10-14 05:33:03.247
02c1489f-2429-48e9-879f-b59288ce0499,2025-10-15 06:49:00.528+00,de77bf96-b55c-4f71-b2e0-1421c0c71e43,ce189564-fcd9-4a40-9090-283c45330629,journey,156,156,2025-10-15 06:49:00.528
031da680-0ad4-4ad5-b834-a98ca190f8b2,2025-10-03 07:20:18.438+00,82fbb04c-e54d-4637-97d7-336607c7d58e,43a719d1-b700-44c8-8176-695050ce0287,summary,1287,1287,2025-10-03 07:41:25.711
03848a9c-8fce-43f2-8de9-11fdf1efcb45,2025-09-28 00:18:08.57+00,acd509aa-b110-4d13-9f30-b42e28e325be,c0d96c7f-5f78-4a59-ac69-341064a37c17,summary,0,0,2025-09-28 00:18:08.57
03a81b66-7a44-4fe6-8de7-013bba0a22ad,2025-09-28 06:00:53.076+00,cb72f951-a824-44ee-8cb2-6750da1f2b02,b2678c2e-0855-4a7b-810c-6bb043a69d3d,byte,188,188,2025-09-28 06:00:53.076
03b2a427-8027-497f-aa31-8b20c038c542,2025-10-25 09:55:58.795+00,ad2e071b-3c54-42b2-a668-affe1072a05e,aec0c8f9-b75a-4edc-8e60-dd7b9e92bcea,summary,61,1021,2025-10-25 09:56:38.736
03cd0a58-f73d-41dc-b8cd-181f54e314d4,2025-09-28 04:57:13.499+00,c502f5b6-f57a-441a-a7f2-702c83255148,43a719d1-b700-44c8-8176-695050ce0287,summary,0,0,2025-09-28 04:57:13.499
043dd42b-3983-4b58-a876-5830de32a6d0,2025-09-30 10:17:19.318+00,f4958a66-2708-4276-8f52-3ece2f27dcfd,ffef9923-95a8-41e3-859c-61e2f3c6c441,byte,135,135,2025-09-30 10:17:19.318
043f91ca-6d41-4741-8e82-9f6660e98ce7,2025-10-08 23:16:57.144+00,b145a2ea-c8e3-4e49-97b5-8082250d9791,6d308ea0-2973-4ebf-95ff-bc723fcae745,journey,209,209,2025-10-27 23:18:26.097
