id,created_at,source_id,total_duration,title,author,category,cover_page,total_chapters,audio,tagline,source,priority,published,updated_at
025020aa-1e2c-45a1-9eb1-b5b034d7095b,2025-09-23 17:49:04.428019+00,d8b4e98978b045d3316f7985,15:49,The 80-20 Principle,Richard Koch,Productivity,https://ziifsmeagbyyjsnmxwns.supabase.co/storage/v1/object/public/content/summaries/cover-pages/d8b4e98978b045d3316f7985_The 80-20 Principle.webp?,6,https://ziifsmeagbyyjsnmxwns.supabase.co/storage/v1/object/public/content/summaries/audio/d8b4e98978b045d3316f7985_The 80-20 Principle.mp3?,Maximize your results with minimal effort by applying the 80/20 principle in every aspect of life.,false,false,true,2025-09-24 11:56:40.591511+00
09e639ce-3634-416f-bfea-be3e8d9e7875,2025-09-26 04:24:42+00,a5868c55e607ed00ff508d98,18:25,Why We Sleep,Matthew Walker,Health,https://ziifsmeagbyyjsnmxwns.supabase.co/storage/v1/object/public/content/summaries/cover-pages/Why%20we%20sleep.webp,8,https://ziifsmeagbyyjsnmxwns.supabase.co/storage/v1/object/public/content/summaries/audio/Why_we_sleeep.mp3,Unlocking the Power of Sleep and Dreams,false,true,true,2025-09-24 11:56:40.591511+00
0df57221-d0ad-4377-a47c-33f2d4b47aa3,2025-09-26 04:16:49.75462+00,23dfcb70065b3bb2750fbe53,02:41,Descartes' Error,Antonio Damasio,Psychology,https://ziifsmeagbyyjsnmxwns.supabase.co/storage/v1/object/public/content/summaries/cover-pages/23dfcb70065b3bb2750fbe53_Descartes'_Error.webp?,5,https://ziifsmeagbyyjsnmxwns.supabase.co/storage/v1/object/public/content/summaries/audio/23dfcb70065b3bb2750fbe53_Descartes' Error_voice.mp3?,"Explore the intricate relationship between emotions and rational thought, and how they shape our lives.",,false,true,2025-09-26 04:16:49.75462+00
0f9e95c6-9395-43a5-825c-eabc6acc5785,2025-09-23 17:49:23.850804+00,bd9fe602d665f477bd8c2d91,19:50,Work Backwards,Tim Duggan,Leadership,https://ziifsmeagbyyjsnmxwns.supabase.co/storage/v1/object/public/content/summaries/cover-pages/bd9fe602d665f477bd8c2d91_Work Backwards.webp?,4,https://ziifsmeagbyyjsnmxwns.supabase.co/storage/v1/object/public/content/summaries/audio/bd9fe602d665f477bd8c2d91_Work Backwards.mp3?,Learn the principles of successful business strategy from Amazon's story and apply them to your ventures.,false,false,true,2025-09-24 11:56:40.591511+00
11383138-38f7-400a-bc7b-577ccbb7c841,2025-09-19 20:32:30+00,b88f3b60363f528f4252ccb0,25:35,Why Zebras Don't Get Ulcers,Robert M. Sapolsky,Health,https://ziifsmeagbyyjsnmxwns.supabase.co/storage/v1/object/public/content/summaries/cover-pages/Why%20Zebras%20Don't%20Get%20Ulcer.webp,8,https://ziifsmeagbyyjsnmxwns.supabase.co/storage/v1/object/public/content/summaries/audio/Why%20Zebras%20don_t%20get%20Ulcers.mp3,"The Acclaimed Guide to Stress, Stress-Related Diseases and Coping",false,true,true,2025-09-24 11:56:40.591511+00
13ced9d5-82c3-4224-88f8-6ec61702a1fd,2025-09-23 17:49:10.993718+00,f10867f03ab0e2c362b34501,24:18,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,Mind,https://ziifsmeagbyyjsnmxwns.supabase.co/storage/v1/object/public/content/summaries/cover-pages/f10867f03ab0e2c362b34501_Drive: The Surprising Truth About What Motivates Us.webp?,8,https://ziifsmeagbyyjsnmxwns.supabase.co/storage/v1/object/public/content/summaries/audio/f10867f03ab0e2c362b34501_Drive: The Surprising Truth About What Motivates Us.mp3?,,false,false,true,2025-09-24 11:56:40.591511+00
14b45c14-180f-42da-aaa8-60cbf39fd892,2025-09-26 04:16:39.864547+00,0655db7246b30f030fcd7788,19:30,A Liberated Mind,Steven C. Hayes,Psychology,https://ziifsmeagbyyjsnmxwns.supabase.co/storage/v1/object/public/content/summaries/cover-pages/0655db7246b30f030fcd7788_A_Liberated_Mind.webp?,7,https://ziifsmeagbyyjsnmxwns.supabase.co/storage/v1/object/public/content/summaries/audio/0655db7246b30f030fcd7788_A Liberated Mind_voice.mp3?,Unlock the power of your mind through acceptance and commitment strategies that lead to a more fulfilling life.,,false,true,2025-09-26 04:16:39.864547+00
14c8a161-850f-42b3-a77b-8e8647a167c1,2025-09-23 17:49:10.124657+00,d418a4f13569b41b3734d2da,22:05,Kaizen,Sarah Harvey,Productivity,https://ziifsmeagbyyjsnmxwns.supabase.co/storage/v1/object/public/content/summaries/cover-pages/d418a4f13569b41b3734d2da_Kaizen.webp?,7,https://ziifsmeagbyyjsnmxwns.supabase.co/storage/v1/object/public/content/summaries/audio/d418a4f13569b41b3734d2da_Kaizen.mp3?,Embrace the philosophy of continuous improvement to enhance every aspect of your life.,false,false,true,2025-09-24 11:56:40.591511+00
167b566d-59b5-4e0c-97fd-0ccb5fb66b43,2025-09-23 17:49:23.022115+00,984b19c95a948d501c94df75,15:45,Wintering,Katherine May,Personal Development,https://ziifsmeagbyyjsnmxwns.supabase.co/storage/v1/object/public/content/summaries/cover-pages/984b19c95a948d501c94df75_Wintering.webp?,5,https://ziifsmeagbyyjsnmxwns.supabase.co/storage/v1/object/public/content/summaries/audio/984b19c95a948d501c94df75_Wintering.mp3?,"Embrace the seasons of life and discover the beauty in resting, reflection, and resilience.",false,false,true,2025-09-24 11:56:40.591511+00
16d1baef-8193-4e05-a831-6e389afc66d4,2025-09-26 04:17:07.212781+00,91bb92b28da15b7b394e4589,22:21,Complete Works of Ram Chandra vol. 3,Shri Ram Chandra,Spirituality,https://ziifsmeagbyyjsnmxwns.supabase.co/storage/v1/object/public/content/summaries/cover-pages/91bb92b28da15b7b394e4589_Complete Works of Ram Chandra vol. 3.webp?,10,https://ziifsmeagbyyjsnmxwns.supabase.co/storage/v1/object/public/content/summaries/audio/CWRC_3.mp3,Delve deeper into the profound wisdom and spiritual insights of Ram Chandra.,heartfulness,false,true,2025-09-26 04:17:07.212781+00
